Location,Location_Telangana,Location_Uttar_Pradesh,Location_Tamil_Nadu,Location_Maharashtra,Location_Karnataka,Location_Bihar,Location_West_Bengal,Location_Madhya_Pradesh,Location_Chandigarh,Location_Delhi,Location_Gujarat,Location_Kerala,Location_Jharkhand,Location_Rajasthan,Location_Haryana,Total_Land_Area_acres,Number_of_Cows,Farm_Size,Farm_Size_Medium,Farm_Size_Large,Farm_Size_Small,Date,Date_Ordinal,Date_Year,Date_Month,Date_Day,Date_Quarter1,Date_Quarter2,Date_Quarter3,Date_Quarter4,Date_January,Date_February,Date_March,Date_April,Date_May,Date_June,Date_July,Date_August,Date_September,Date_October,Date_November,Date_December,Date_Monday,Date_Tuesday,Date_Wednesday,Date_Thursday,Date_Friday,Date_Saturday,Date_Sunday,Product_ID,Product_Name,Product_Name_Ice_Cream,Product_Name_Milk,Product_Name_Yogurt,Product_Name_Cheese,Product_Name_Buttermilk,Product_Name_Curd,Product_Name_Paneer,Product_Name_Lassi,Product_Name_Ghee,Product_Name_Butter,Brand,Brand_Dodla_Dairy,Brand_Amul,Brand_Britannia_Industries,Brand_Mother_Dairy,Brand_Raj,Brand_Dynamix_Dairies,Brand_Sudha,Brand_Passion_Cheese,Brand_Warana,Brand_Palle2patnam,Brand_Parag_Milk_Foods,Quantity_liters_kg,Price_per_Unit,Total_Value,Shelf_Life_days,Storage_Condition,Storage_Condition_Frozen,Storage_Condition_Tetra_Pack,Storage_Condition_Refrigerated,Storage_Condition_Polythene_Packet,Storage_Condition_Ambient,Production_Date,Production_Date_Ordinal,Production_Date_Year,Production_Date_Month,Production_Date_Day,Production_Date_Quarter1,Production_Date_Quarter2,Production_Date_Quarter3,Production_Date_Quarter4,Production_Date_January,Production_Date_February,Production_Date_March,Production_Date_April,Production_Date_May,Production_Date_June,Production_Date_July,Production_Date_August,Production_Date_September,Production_Date_October,Production_Date_November,Production_Date_December,Production_Date_Monday,Production_Date_Tuesday,Production_Date_Wednesday,Production_Date_Thursday,Production_Date_Friday,Production_Date_Saturday,Production_Date_Sunday,Expiration_Date,Expiration_Date_Ordinal,Expiration_Date_Year,Expiration_Date_Month,Expiration_Date_Day,Expiration_Date_Quarter1,Expiration_Date_Quarter2,Expiration_Date_Quarter3,Expiration_Date_Quarter4,Expiration_Date_January,Expiration_Date_February,Expiration_Date_March,Expiration_Date_April,Expiration_Date_May,Expiration_Date_June,Expiration_Date_July,Expiration_Date_August,Expiration_Date_September,Expiration_Date_October,Expiration_Date_November,Expiration_Date_December,Expiration_Date_Monday,Expiration_Date_Tuesday,Expiration_Date_Wednesday,Expiration_Date_Thursday,Expiration_Date_Friday,Expiration_Date_Saturday,Expiration_Date_Sunday,Quantity_Sold_liters_kg,Price_per_Unit_sold,Approx_Total_Revenue_INR,Customer_Location,Customer_Location_Madhya_Pradesh,Customer_Location_Kerala,Customer_Location_Rajasthan,Customer_Location_Jharkhand,Customer_Location_Gujarat,Customer_Location_Karnataka,Customer_Location_Haryana,Customer_Location_Tamil_Nadu,Customer_Location_West_Bengal,Customer_Location_Telangana,Customer_Location_Chandigarh,Customer_Location_Maharashtra,Customer_Location_Delhi,Customer_Location_Bihar,Customer_Location_Uttar_Pradesh,Sales_Channel,Sales_Channel_Wholesale,Sales_Channel_Online,Sales_Channel_Retail,Quantity_in_Stock_liters_kg,Minimum_Stock_Threshold_liters_kg,Reorder_Quantity_liters_kg
Telangana,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,310.84,96,Medium,True,False,False,2022-02-17,738203,2022,2,17,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5,Ice Cream,True,False,False,False,False,False,False,False,False,False,Dodla Dairy,True,False,False,False,False,False,False,False,False,False,False,222.4,85.72,19064.128,25,Frozen,True,False,False,False,False,2021-12-27,738151,2021,12,27,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,2022-01-21,738176,2022,1,21,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7,82.24,575.68,Madhya Pradesh,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Wholesale,True,False,False,215,19.55,64.03
Uttar Pradesh,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,19.19,44,Large,False,True,False,2021-12-01,738125,2021,12,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1,Milk,False,True,False,False,False,False,False,False,False,False,Amul,False,True,False,False,False,False,False,False,False,False,False,687.48,42.61,29293.5228,22,Tetra Pack,False,True,False,False,False,2021-10-03,738066,2021,10,3,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,2021-10-25,738088,2021,10,25,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,558,39.24,21895.92,Kerala,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Wholesale,True,False,False,129,43.17,181.1
Tamil Nadu,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,581.69,24,Medium,True,False,False,2022-02-28,738214,2022,2,28,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4,Yogurt,False,False,True,False,False,False,False,False,False,False,Dodla Dairy,True,False,False,False,False,False,False,False,False,False,False,503.48,36.5,18377.02,30,Refrigerated,False,False,True,False,False,2022-01-14,738169,2022,1,14,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2022-02-13,738199,2022,2,13,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,256,33.81,8655.36,Madhya Pradesh,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Online,False,True,False,247,15.1,140.83
Telangana,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,908.0,89,Small,False,False,True,2019-06-09,737219,2019,6,9,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,3,Cheese,False,False,False,True,False,False,False,False,False,False,Britannia Industries,False,False,True,False,False,False,False,False,False,False,False,823.36,26.52,21835.5072,72,Frozen,True,False,False,False,False,2019-05-15,737194,2019,5,15,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2019-07-26,737266,2019,7,26,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,601,28.92,17380.92,Rajasthan,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Online,False,True,False,222,74.5,57.68
Maharashtra,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,861.95,21,Medium,True,False,False,2020-12-14,737773,2020,12,14,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,8,Buttermilk,False,False,False,False,True,False,False,False,False,False,Mother Dairy,False,False,False,True,False,False,False,False,False,False,False,147.77,83.85,12390.5145,11,Refrigerated,False,False,True,False,False,2020-10-17,737715,2020,10,17,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2020-10-28,737726,2020,10,28,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,145,83.07,12045.15,Jharkhand,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Retail,False,False,True,2,76.02,33.4
Telangana,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,87.64,51,Medium,True,False,False,2019-01-07,737066,2019,1,7,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,6,Curd,False,False,False,False,False,True,False,False,False,False,Raj,False,False,False,False,True,False,False,False,False,False,False,593.92,85.54,50803.9168,5,Refrigerated,False,False,True,False,False,2019-01-03,737062,2019,1,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2019-01-08,737067,2019,1,8,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,74,84.75,6271.5,Gujarat,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Retail,False,False,True,519,55.6,139.59
Karnataka,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,73.28,74,Small,False,False,True,2022-08-05,738372,2022,8,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,3,Cheese,False,False,False,True,False,False,False,False,False,False,Dynamix Dairies,False,False,False,False,False,True,False,False,False,False,False,757.14,36.83,27885.4662,83,Frozen,True,False,False,False,False,2022-06-14,738320,2022,6,14,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,2022-09-05,738403,2022,9,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,410,32.66,13390.6,Karnataka,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Online,False,True,False,347,49.82,105.86
Bihar,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,67.61,77,Medium,True,False,False,2019-02-14,737104,2019,2,14,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,9,Paneer,False,False,False,False,False,False,True,False,False,False,Mother Dairy,False,False,False,True,False,False,False,False,False,False,False,203.36,29.08,5913.7088,14,Refrigerated,False,False,True,False,False,2019-01-06,737065,2019,1,6,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2019-01-20,737079,2019,1,20,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15,29.09,436.35,Haryana,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Online,False,True,False,188,10.9,25.14
West Bengal,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,72.31,76,Medium,True,False,False,2020-08-02,737639,2020,8,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,6,Curd,False,False,False,False,False,True,False,False,False,False,Raj,False,False,False,False,True,False,False,False,False,False,False,949.12,22.79,21630.4448,6,Refrigerated,False,False,True,False,False,2020-06-06,737582,2020,6,6,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2020-06-12,737588,2020,6,12,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,860,24.77,21302.2,Jharkhand,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Wholesale,True,False,False,89,85.71,32.03
Telangana,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,413.24,36,Large,False,True,False,2022-03-04,738218,2022,3,4,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8,Buttermilk,False,False,False,False,True,False,False,False,False,False,Mother Dairy,False,False,False,True,False,False,False,False,False,False,False,385.64,42.08,16227.731199999998,9,Refrigerated,False,False,True,False,False,2022-02-03,738189,2022,2,3,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2022-02-12,738198,2022,2,12,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,108,46.15,4984.2,Tamil Nadu,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Retail,False,False,True,277,93.61,66.26
Madhya Pradesh,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,867.78,82,Small,False,False,True,2021-12-22,738146,2021,12,22,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,4,Yogurt,False,False,True,False,False,False,False,False,False,False,Dodla Dairy,True,False,False,False,False,False,False,False,False,False,False,52.62,67.23,3537.6426,24,Refrigerated,False,False,True,False,False,2021-11-02,738096,2021,11,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,2021-11-26,738120,2021,11,26,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,22,68.09,1497.98,Kerala,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Wholesale,True,False,False,30,81.34,118.57
Chandigarh,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,648.52,99,Small,False,False,True,2020-10-14,737712,2020,10,14,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,7,Lassi,False,False,False,False,False,False,False,True,False,False,Sudha,False,False,False,False,False,False,True,False,False,False,False,653.04,84.6,55247.184,14,Refrigerated,False,False,True,False,False,2020-08-22,737659,2020,8,22,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2020-09-05,737673,2020,9,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,345,88.05,30377.25,Karnataka,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Online,False,True,False,308,26.65,24.68
Delhi,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,236.72,81,Large,False,True,False,2020-02-18,737473,2020,2,18,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3,Cheese,False,False,False,True,False,False,False,False,False,False,Passion Cheese,False,False,False,False,False,False,False,True,False,False,False,12.39,58.28,722.0892,69,Refrigerated,False,False,True,False,False,2020-01-18,737442,2020,1,18,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2020-03-27,737511,2020,3,27,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,58.09,58.09,West Bengal,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Retail,False,False,True,11,31.99,69.19
